排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
1,清华大学,北京,94.6,100.0,98.30%,1589319,48698,1.512,1810,126,1697330,302898,6.81%
2,北京大学,北京,76.5,95.2,98.07%,570497,47161,1.409,1402,100,554680,14445,6.15%
3,浙江大学,浙江,72.9,84.2,96.05%,352880,52249,1.197,1140,91,1179094,101208,5.71%
4,上海交通大学,上海,72.1,91.1,97.92%,275235,54447,1.201,1108,81,875715,12574,6.05%
5,复旦大学,上海,65.6,91.6,96.09%,251272,35028,1.384,828,57,348338,65034,6.77%
6,中国科学技术大学,安徽,60.9,91.1,93.40%,71038,25036,1.560,992,43,0,6400,2.32%
7,华中科技大学,湖北,58.9,80.1,95.70%,33858,32298,1.327,924,33,632943,14972,5.02%
7,南京大学,江苏,58.9,86.2,98.46%,114607,28082,1.474,797,33,199756,3349,3.25%
9,中山大学,广东,58.2,79.7,91.00%,202168,32535,1.341,768,49,319876,2019,4.93%
10,哈尔滨工业大学,黑龙江,56.7,76.6,95.47%,59905,30346,1.193,763,24,1396701,566,2.78%
11,北京航空航天大学,北京,56.3,86.9,98.65%,99223,20767,1.165,506,12,1428022,2576,4.21%
12,武汉大学,湖北,56.2,82.4,96.50%,161620,28077,1.218,643,21,732814,5785,5.09%
13,同济大学,上海,55.7,85.2,98.70%,130671,27794,1.070,540,33,500630,1098,4.40%
14,西安交通大学,陕西,55.0,82.0,98.06%,104122,30006,1.150,621,17,458953,36900,3.48%
15,四川大学,四川,54.4,74.0,96.36%,81905,34276,1.023,546,27,1020604,47223,2.75%
16,北京理工大学,北京,54.0,79.7,97.90%,43022,16605,1.042,378,13,872622,253765,3.06%
17,东南大学,江苏,53.6,79.4,97.88%,55508,23544,1.208,703,22,415824,4258,4.68%
18,南开大学,天津,52.8,83.9,97.94%,72705,13193,1.505,451,21,60012,29156,3.87%
19,天津大学,天津,52.3,80.1,98.23%,67633,24927,1.092,518,19,454094,36653,1.85%
20,华南理工大学,广东,52.0,73.4,91.80%,26493,21560,1.315,644,24,334378,89671,2.35%
21,中南大学,湖南,50.3,73.2,98.02%,31641,29520,1.145,606,15,313783,1980,1.15%
22,北京师范大学,北京,49.7,82.7,99.31%,106666,13842,1.230,303,17,96181,650,5.23%
23,山东大学,山东,49.1,71.3,90.94%,27968,30673,1.101,476,22,245149,15300,2.58%
23,厦门大学,福建,49.1,75.3,94.70%,399695,15640,1.282,392,17,175898,200,4.01%
25,吉林大学,吉林,48.9,71.9,97.88%,118939,30069,0.986,450,20,322408,2280,1.63%
26,大连理工大学,辽宁,48.6,72.9,94.70%,19937,22080,1.066,478,31,271130,500,2.10%
27,电子科技大学,四川,48.4,73.8,96.33%,47721,14465,1.245,478,23,324500,4163,1.99%
28,湖南大学,湖南,48.1,71.7,96.13%,34245,14389,1.349,534,15,375803,2650,1.54%
29,苏州大学,江苏,47.3,64.7,92.03%,20913,18101,1.393,575,16,503719,3900,2.08%
30,西北工业大学,陕西,46.7,74.0,96.57%,19280,16819,1.035,387,7,692310,1910,1.91%
31,中国人民大学,北京,46.1,87.8,97.14%,91179,4192,1.166,81,3,9271,0,4.57%
32,华东师范大学,上海,46.0,77.9,95.04%,44868,9529,1.246,234,10,87743,512,4.88%
33,南京航空航天大学,江苏,44.8,71.4,99.30%,9146,13706,0.888,254,15,458367,42560,3.21%
34,对外经济贸易大学,北京,44.7,81.9,98.98%,22189,804,1.074,13,3,0,0,16.20%
35,南方科技大学,广东,44.6,77.0,98.21%,54977,2083,>1.560,94,6,6915,0,0.47%
36,华东理工大学,上海,44.5,71.4,97.22%,14022,13441,1.109,255,13,235839,25321,1.25%
37,重庆大学,重庆,44.4,70.7,94.53%,37839,18572,1.008,361,7,352239,712,1.06%
38,南京理工大学,江苏,44.3,68.4,98.79%,11791,12292,1.027,269,5,391240,84355,3.26%
39,北京科技大学,北京,43.9,71.1,95.08%,49993,16142,0.977,318,4,338517,3033,3.43%
40,东北大学,辽宁,43.7,66.5,95.60%,14226,13477,0.870,227,6,1089583,48045,1.97%
41,上海大学,上海,43.4,66.3,99.63%,10124,11910,1.101,242,12,526681,1615,2.43%
42,北京邮电大学,北京,42.9,76.1,99.14%,8607,7605,1.039,240,2,142780,2764,0.86%
42,上海财经大学,上海,42.9,85.3,91.22%,31075,1342,1.026,26,1,0,0,5.81%
42,中国农业大学,北京,42.9,68.5,96.79%,41583,12960,1.156,215,12,88734,9340,1.32%
45,武汉理工大学,湖北,42.8,67.2,96.30%,30028,9848,1.152,292,7,326294,6478,2.62%
46,北京交通大学,北京,42.6,70.8,98.72%,56004,11590,0.874,223,5,276113,15830,5.04%
46,华中师范大学,湖北,42.6,68.4,93.36%,17496,4529,1.555,193,2,10696,1313,3.47%
48,西安电子科技大学,陕西,42.1,70.5,98.11%,32347,11364,0.961,267,7,187003,2286,0.82%
49,中央财经大学,北京,41.8,82.9,97.12%,19019,1119,0.997,15,3,0,0,1.33%
50,北京化工大学,北京,41.7,64.0,98.71%,17883,9364,1.250,246,11,119972,2465,1.34%
51,暨南大学,广东,41.5,68.1,97.08%,123132,9938,1.069,161,3,32660,8723,5.34%
52,东华大学,上海,41.4,66.9,96.08%,9259,6312,1.261,179,7,88321,1566,3.76%
52,兰州大学,甘肃,41.4,66.1,88.66%,10821,13217,1.201,242,10,86628,100,1.08%
52,中南财经政法大学,湖北,41.4,72.2,94.38%,3232,578,>1.560,20,0,0,0,0.50%
55,宁波诺丁汉大学,浙江,40.3,60.4,97.40%,376,584,>1.560,7,1,9806,0,12.60%
56,哈尔滨工程大学,黑龙江,40.1,67.0,94.95%,10365,8637,0.891,170,3,509663,1245,2.45%
56,华北电力大学,北京,40.1,66.4,96.88%,22811,7232,1.081,179,2,220866,0,1.89%
58,深圳大学,广东,40.0,59.3,91.96%,58305,7625,1.414,271,3,144449,1452,1.24%
59,江南大学,江苏,39.6,64.2,97.87%,28619,10092,0.995,144,5,239049,7102,1.29%
59,南京师范大学,江苏,39.6,64.2,95.89%,7981,5866,1.182,158,6,155221,170,1.67%
61,北京工业大学,北京,39.5,65.9,98.45%,4944,10174,0.782,149,4,266788,47230,1.76%
62,福州大学,福建,39.4,60.2,95.58%,3833,6790,1.281,207,10,108227,2100,0.16%
63,北京外国语大学,北京,39.3,79.9,94.71%,62784,147,0.583,0,0,0,0,11.13%
63,北京语言大学,北京,39.3,69.3,96.19%,2433,101,0.603,0,0,0,0,29.15%
63,中国地质大学（武汉）,湖北,39.3,62.3,96.45%,6783,7998,1.093,170,9,106432,453,2.66%
66,西南交通大学,四川,39.2,64.8,95.34%,34482,10241,0.862,172,7,335000,560,0.98%
67,华中农业大学,湖北,39.1,60.8,94.30%,26748,7895,1.184,133,9,75839,18250,1.62%
67,中国海洋大学,山东,39.1,67.5,92.95%,6573,8678,0.964,113,5,147737,1950,1.76%
69,南京农业大学,江苏,39.0,60.5,97.08%,13669,9866,1.140,129,9,76035,10455,0.99%
70,上海外国语大学,上海,38.8,76.6,97.27%,2745,173,0.715,0,0,0,0,8.58%
71,中国矿业大学,江苏,38.6,59.2,98.38%,13264,9689,1.056,191,5,189038,970,2.14%
72,中国地质大学（北京）,北京,38.5,61.6,94.99%,462,7795,1.145,186,4,83751,0,0.80%
73,东北财经大学,辽宁,38.2,67.0,94.41%,40801,562,1.178,20,1,0,0,4.03%
73,西南财经大学,四川,38.2,73.3,88.64%,0,1228,1.043,24,1,80,0,0.97%
73,西南大学,重庆,38.2,58.2,94.39%,34513,9648,1.130,210,6,94354,900,1.37%
76,东北师范大学,吉林,38.1,60.4,97.50%,7134,4758,1.193,104,10,18513,0,1.54%
76,南京邮电大学,江苏,38.1,57.3,98.45%,2320,5127,1.211,181,1,182817,34529,0.96%
76,中国政法大学,北京,38.1,79.8,98.15%,14103,252,0.603,3,0,1752,0,2.16%
79,河海大学,江苏,38.0,64.4,96.54%,10132,8467,0.828,111,1,361418,437,2.09%
80,南京信息工程大学,江苏,37.9,51.9,98.78%,0,6578,1.399,193,0,103307,23207,2.70%
81,西北农林科技大学,陕西,37.8,60.6,95.97%,15912,10580,1.020,151,3,66613,3018,0.77%
82,中国石油大学（华东）,山东,37.4,60.4,96.06%,7705,7464,0.888,136,2,338002,164,3.79%
83,合肥工业大学,安徽,37.3,60.7,96.08%,8900,8574,0.996,176,1,126619,412,0.48%
84,陕西师范大学,陕西,37.2,63.1,92.13%,19743,5392,1.080,97,4,19640,217,0.88%
85,华南师范大学,广东,37.1,60.4,97.15%,31069,5522,1.060,79,5,110739,1550,1.11%
85,江苏大学,江苏,37.1,52.1,98.12%,6622,12524,0.984,216,5,247597,7280,3.63%
87,南京工业大学,江苏,37.0,52.1,95.24%,2397,7722,1.197,193,11,226412,5490,0.32%
87,中国石油大学（北京）,北京,37.0,55.4,97.55%,1210,10044,0.943,199,1,299991,300,3.55%
89,西北大学,陕西,36.9,63.8,89.33%,0,6510,1.036,106,0,54000,252,1.34%
89,浙江工业大学,浙江,36.9,58.2,96.22%,6566,7636,0.960,116,4,215831,400,3.74%
91,北京林业大学,北京,36.8,65.5,94.67%,12452,6246,0.859,69,4,38644,3300,0.62%
91,湖南师范大学,湖南,36.8,65.7,95.34%,25140,3159,0.966,52,0,21371,320,1.84%
